step,hv,diffToOptimal
133,0.3647864244420742,0.1171095500513889
266,0.40659102362122473,0.07530495087223837
666,0.4137025670574789,0.06819340743598423
1333,0.43033892333624896,0.05155705115721415
2666,0.4551229216697756,0.026773052823687526
9333,0.47770426897490903,0.004191705518554079
16000,0.47984264875698357,0.0020533257364795388
22666,0.4802581902502695,0.0016377842431936074
29333,0.4805076047453888,0.0013883697480743251
36000,0.48061967155644014,0.0012763029370229662
42666,0.48070463046794176,0.0011913440255213459
49333,0.4807626551728234,0.001133319320639703
56000,0.4808156227035867,0.0010803517898764214
62666,0.4808673701156788,0.0010286043777842924
69333,0.4809529803243775,0.0009429941690856092
76000,0.4810169314398815,0.0008790430535816074
82666,0.48104396956453327,0.0008520049289298393
89333,0.4810718521582689,0.0008241223351941884
96000,0.48109963082892304,0.0007963436645400668
102666,0.4811130037928876,0.000782970700575536
109333,0.48112156549315543,0.0007744090003076742
116000,0.48113538163836883,0.0007605928550942775
122666,0.4811497505347692,0.0007462239586938924
129333,0.48116768821245953,0.0007282862810035762
136000,0.4811745200090222,0.0007214544844408866
142666,0.48118945825365783,0.0007065162398052771
149333,0.4811987543668936,0.000697220126569531
150300,0.48119882445106515,0.0006971500423979538
