step,igd
133,0.21888901193946236
266,0.1624752731344787
666,0.20219671457322794
1333,0.1394047208551301
2666,0.1238880862628978
9333,0.062265836887485125
16000,0.057892315612260804
22666,0.05682164073923667
29333,0.05662085749486221
36000,0.05463312906623954
42666,0.05453413686173153
49333,0.05367415680401714
56000,0.053083828262253885
62666,0.04881225841840835
69333,0.049026897556676066
76000,0.04833258807004688
82666,0.04777307084360711
89333,0.04356620674614346
96000,0.04290706501207639
102666,0.042630956622042256
109333,0.04278575922860386
116000,0.04250404028055664
122666,0.03938492003991839
129333,0.037050878270776036
136000,0.03463700466483923
142666,0.03522893828102137
149333,0.03514105015567609
156000,0.03550446203101277
156000,0.03550446203101277
