step,igd
13,1.3788832124191197
26,1.189624413130575
66,1.1518360258244529
133,1.0150358550622836
266,1.0150358550622836
666,0.4389580323418082
1333,0.24506583950557162
2666,0.06913230910357493
4000,0.019012123540494835
5333,0.006767289422262141
6666,0.0034935871701624304
8000,0.0024378708381007958
9333,0.0017817090871512398
10666,0.0014653291901392661
12000,0.0012388529312274707
13333,0.001043525676898258
14666,0.0008937393876666711
16000,0.0007580560385767192
17333,0.0006614955157700397
18666,0.0006100258181448092
20000,0.0005545746694439423
21333,0.0004899640769609764
22666,0.00045087115725314116
24000,0.0004182278501692223
25100,0.00039176019728251666
